query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T000,Temporal,334.63,1000,"['id001', 'id001', 96.438748]",,baseline
T001,Temporal,148.18,1000,"['id001', 'id001', 98.923286]",,baseline
T002,Temporal,112.14,1000,"['id001', 'id001', 98.102917]",,baseline
T003,Temporal,92.08,1000,"['id001', 'id001', 86.270852]",,baseline
T004,Temporal,98.90,1000,"['id001', 'id001', 39.300368]",,baseline
T005,Temporal,66.84,1000,"['id001', 'id001', 54.230618]",,baseline
T006,Temporal,59.88,1000,"['id001', 'id001', 76.308637]",,baseline
T007,Temporal,89.84,1000,"['id001', 'id001', 87.819957]",,baseline
T008,Temporal,71.96,1000,"['id001', 'id001', 98.375704]",,baseline
T009,Temporal,62.11,1000,"['id001', 'id001', 98.825278]",,baseline
T010,Temporal,67.62,1000,"['id001', 'id001', 80.950977]",,baseline
T011,Temporal,54.06,1000,"['id001', 'id001', 67.815284]",,baseline
T012,Temporal,63.38,1000,"['id001', 'id001', 83.444595]",,baseline
T013,Temporal,60.88,1000,"['id001', 'id001', 83.433736]",,baseline
T014,Temporal,59.44,1000,"['id001', 'id001', 90.957415]",,baseline
T015,Temporal,75.27,1000,"['id001', 'id001', 64.574419]",,baseline
T016,Temporal,61.76,1000,"['id001', 'id001', 95.117597]",,baseline
T017,Temporal,60.71,1000,"['id001', 'id001', 68.159707]",,baseline
T018,Temporal,61.71,1000,"['id001', 'id001', 94.432045]",,baseline
T019,Temporal,71.84,1000,"['id001', 'id001', 95.475117]",,baseline
T020,Temporal,52.50,1000,"['id001', 'id001', 72.347461]",,baseline
T021,Temporal,53.79,1000,"['id001', 'id001', 60.828141]",,baseline
T022,Temporal,78.67,1000,"['id001', 'id001', 86.224213]",,baseline
T023,Temporal,79.29,1000,"['id001', 'id001', 87.120652]",,baseline
T024,Temporal,63.96,1000,"['id001', 'id001', 84.512289]",,baseline
T025,Temporal,51.73,1000,"['id001', 'id001', 96.579854]",,baseline
T026,Temporal,53.27,1000,"['id001', 'id001', 80.760029]",,baseline
T027,Temporal,51.40,1000,"['id001', 'id001', 76.928438]",,baseline
T028,Temporal,53.02,1000,"['id001', 'id001', 99.922196]",,baseline
T029,Temporal,51.46,1000,"['id001', 'id001', 98.911517]",,baseline
T030,Temporal,58.82,1000,"['id001', 'id001', 99.862297]",,baseline
T031,Temporal,60.80,1000,"['id001', 'id001', 50.472267]",,baseline
T032,Temporal,53.27,1000,"['id001', 'id001', 85.496386]",,baseline
T033,Temporal,61.90,1000,"['id001', 'id001', 92.39001]",,baseline
T034,Temporal,54.37,1000,"['id001', 'id001', 77.566411]",,baseline
T035,Temporal,51.49,1000,"['id001', 'id001', 98.691739]",,baseline
T036,Temporal,53.45,1000,"['id001', 'id001', 92.148432]",,baseline
T037,Temporal,52.15,1000,"['id001', 'id001', 93.436265]",,baseline
T038,Temporal,57.81,1000,"['id001', 'id001', 55.939222]",,baseline
T039,Temporal,68.55,1000,"['id001', 'id001', 95.070904]",,baseline
T040,Temporal,54.32,1000,"['id001', 'id001', 94.745095]",,baseline
T041,Temporal,56.04,1000,"['id001', 'id001', 57.626124]",,baseline
T042,Temporal,53.67,1000,"['id001', 'id001', 94.440484]",,baseline
T043,Temporal,62.48,1000,"['id001', 'id001', 43.615406]",,baseline
T044,Temporal,52.91,1000,"['id001', 'id001', 96.911854]",,baseline
T045,Temporal,72.34,1000,"['id001', 'id001', 73.361366]",,baseline
T046,Temporal,59.29,1000,"['id001', 'id001', 94.21003]",,baseline
T047,Temporal,51.52,1000,"['id001', 'id001', 99.875161]",,baseline
T048,Temporal,83.10,1000,"['id001', 'id001', 92.789252]",,baseline
T049,Temporal,63.49,1000,"['id001', 'id001', 81.019243]",,baseline
T050,Temporal,65.87,1000,"['id001', 'id001', 80.461179]",,baseline
T051,Temporal,64.41,1000,"['id001', 'id001', 99.508915]",,baseline
T052,Temporal,59.28,1000,"['id001', 'id001', 71.200715]",,baseline
