query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T000,Temporal,247.05,1000,"['id001', 'id001', 96.438748]",,baseline
T001,Temporal,55.26,1000,"['id001', 'id001', 98.923286]",,baseline
T002,Temporal,55.60,1000,"['id001', 'id001', 98.102917]",,baseline
T003,Temporal,51.01,1000,"['id001', 'id001', 86.270852]",,baseline
T004,Temporal,48.89,1000,"['id001', 'id001', 39.300368]",,baseline
T005,Temporal,53.44,1000,"['id001', 'id001', 65.59431559999996]",,baseline
T006,Temporal,47.35,1000,"['id001', 'id001', 76.308637]",,baseline
T007,Temporal,41.05,1000,"['id001', 'id001', 87.819957]",,baseline
T008,Temporal,39.76,1000,"['id001', 'id001', 98.375704]",,baseline
T009,Temporal,39.83,1000,"['id001', 'id001', 98.825278]",,baseline
T010,Temporal,39.82,1000,"['id001', 'id001', 80.950977]",,baseline
T011,Temporal,49.04,1000,"['id001', 'id001', 67.815284]",,baseline
T012,Temporal,42.28,1000,"['id001', 'id001', 83.444595]",,baseline
T013,Temporal,35.91,1000,"['id001', 'id001', 83.433736]",,baseline
T014,Temporal,38.62,1000,"['id001', 'id001', 90.957415]",,baseline
T015,Temporal,37.88,1000,"['id001', 'id001', 64.574419]",,baseline
T016,Temporal,40.08,1000,"['id001', 'id001', 95.117597]",,baseline
T017,Temporal,41.08,1000,"['id001', 'id001', 68.159707]",,baseline
T018,Temporal,42.30,1000,"['id001', 'id001', 94.432045]",,baseline
T019,Temporal,38.68,1000,"['id001', 'id001', 95.475117]",,baseline
T020,Temporal,37.63,1000,"['id001', 'id001', 72.347461]",,baseline
T021,Temporal,42.48,1000,"['id001', 'id001', 60.828141]",,baseline
T022,Temporal,38.53,1000,"['id001', 'id001', 86.224213]",,baseline
T023,Temporal,40.04,1000,"['id001', 'id001', 87.120652]",,baseline
T024,Temporal,35.95,1000,"['id001', 'id001', 84.512289]",,baseline
T025,Temporal,34.53,1000,"['id001', 'id001', 96.579854]",,baseline
T026,Temporal,38.77,1000,"['id001', 'id001', 80.760029]",,baseline
T027,Temporal,38.06,1000,"['id001', 'id001', 76.928438]",,baseline
T028,Temporal,40.52,1000,"['id001', 'id001', 99.922196]",,baseline
T029,Temporal,36.56,1000,"['id001', 'id001', 98.911517]",,baseline
T030,Temporal,43.38,1000,"['id001', 'id001', 99.862297]",,baseline
T031,Temporal,37.97,1000,"['id001', 'id001', 50.472267]",,baseline
T032,Temporal,40.39,1000,"['id001', 'id001', 85.496386]",,baseline
T033,Temporal,37.91,1000,"['id001', 'id001', 92.39001]",,baseline
T034,Temporal,35.60,1000,"['id001', 'id001', 77.566411]",,baseline
T035,Temporal,36.95,1000,"['id001', 'id001', 98.691739]",,baseline
T036,Temporal,38.34,1000,"['id001', 'id001', 92.148432]",,baseline
T037,Temporal,43.39,1000,"['id001', 'id001', 93.436265]",,baseline
T038,Temporal,34.01,1000,"['id001', 'id001', 55.939222]",,baseline
T039,Temporal,35.43,1000,"['id001', 'id001', 95.070904]",,baseline
T040,Temporal,39.24,1000,"['id001', 'id001', 94.745095]",,baseline
T041,Temporal,39.35,1000,"['id001', 'id001', 57.626124]",,baseline
T042,Temporal,45.99,1000,"['id001', 'id001', 94.440484]",,baseline
T043,Temporal,50.99,1000,"['id001', 'id001', 43.615406]",,baseline
T044,Temporal,33.80,1000,"['id001', 'id001', 96.911854]",,baseline
T045,Temporal,42.71,1000,"['id001', 'id001', 73.361366]",,baseline
T046,Temporal,43.22,1000,"['id001', 'id001', 95.1015172]",,baseline
T047,Temporal,44.09,1000,"['id001', 'id001', 99.875161]",,baseline
T048,Temporal,36.11,1000,"['id001', 'id001', 92.789252]",,baseline
T049,Temporal,35.80,1000,"['id001', 'id001', 81.019243]",,baseline
T050,Temporal,40.52,1000,"['id001', 'id001', 80.461179]",,baseline
T051,Temporal,32.09,1000,"['id001', 'id001', 99.508915]",,baseline
T052,Temporal,32.91,1000,"['id001', 'id001', 71.200715]",,baseline
T053,Temporal,31.60,1000,"['id001', 'id001', 56.32394]",,baseline
T054,Temporal,32.82,1000,"['id001', 'id001', 98.968693]",,baseline
T055,Temporal,42.58,1000,"['id001', 'id001', 69.02894145]",,baseline
T056,Temporal,34.52,1000,"['id001', 'id001', 88.300962]",,baseline
T057,Temporal,35.83,1000,"['id001', 'id001', 91.831311]",,baseline
T058,Temporal,37.35,1000,"['id001', 'id001', 49.976907]",,baseline
T059,Temporal,33.81,1000,"['id001', 'id001', 70.821913]",,baseline
T060,Temporal,33.51,1000,"['id001', 'id001', 75.69617]",,baseline
T061,Temporal,34.36,1000,"['id001', 'id001', 97.044395]",,baseline
T062,Temporal,32.31,1000,"['id001', 'id001', 85.755377]",,baseline
T063,Temporal,36.36,1000,"['id001', 'id001', 75.619857]",,baseline
T064,Temporal,39.78,1000,"['id001', 'id001', 96.931257]",,baseline
T065,Temporal,32.11,1000,"['id001', 'id001', 48.077506]",,baseline
T066,Temporal,35.08,1000,"['id001', 'id001', 99.186712]",,baseline
T067,Temporal,36.23,1000,"['id001', 'id001', 89.588872]",,baseline
T068,Temporal,38.38,1000,"['id001', 'id001', 96.620009]",,baseline
T069,Temporal,32.27,1000,"['id001', 'id001', 83.990403]",,baseline
T070,Temporal,36.86,1000,"['id001', 'id001', 83.78403]",,baseline
T071,Temporal,34.68,1000,"['id001', 'id001', 75.360093]",,baseline
T072,Temporal,38.47,1000,"['id001', 'id001', 96.708233]",,baseline
T073,Temporal,37.83,1000,"['id001', 'id001', 74.64853]",,baseline
T074,Temporal,32.04,1000,"['id001', 'id001', 96.50179]",,baseline
T075,Temporal,33.77,1000,"['id001', 'id001', 77.067973]",,baseline
T076,Temporal,33.69,1000,"['id001', 'id001', 51.188443]",,baseline
T077,Temporal,32.60,1000,"['id001', 'id001', 66.954329]",,baseline
T078,Temporal,32.11,1000,"['id001', 'id001', 78.280781]",,baseline
T079,Temporal,36.95,1000,"['id001', 'id001', 78.734255]",,baseline
T080,Temporal,36.74,1000,"['id001', 'id001', 75.045123]",,baseline
T081,Temporal,34.69,1000,"['id001', 'id001', 99.2306]",,baseline
T082,Temporal,33.60,1000,"['id001', 'id001', 96.032171]",,baseline
T083,Temporal,36.53,1000,"['id001', 'id001', 95.710473]",,baseline
T084,Temporal,29.72,1000,"['id001', 'id001', 83.865374]",,baseline
T085,Temporal,30.50,1000,"['id001', 'id001', 98.911227]",,baseline
T086,Temporal,37.33,1000,"['id001', 'id001', 74.56779]",,baseline
T087,Temporal,39.95,1000,"['id001', 'id001', 98.187109]",,baseline
T088,Temporal,32.45,1000,"['id001', 'id001', 75.042476]",,baseline
T089,Temporal,43.22,1000,"['id001', 'id001', 93.317571]",,baseline
T090,Temporal,31.38,1000,"['id001', 'id001', 97.591051]",,baseline
T091,Temporal,35.77,1000,"['id001', 'id001', 93.138132]",,baseline
T092,Temporal,40.12,1000,"['id001', 'id001', 77.329354]",,baseline
T093,Temporal,32.71,1000,"['id001', 'id001', 89.001589]",,baseline
T094,Temporal,34.68,1000,"['id001', 'id001', 99.296594]",,baseline
T095,Temporal,34.17,1000,"['id001', 'id001', 22.643547]",,baseline
T096,Temporal,32.42,1000,"['id001', 'id001', 73.775263]",,baseline
T097,Temporal,36.25,1000,"['id001', 'id001', 90.823813]",,baseline
T098,Temporal,40.10,1000,"['id001', 'id001', 96.081273]",,baseline
T099,Temporal,32.55,1000,"['id001', 'id001', 98.105787]",,baseline
T100,Temporal,31.94,1000,"['id001', 'id001', 52.581372]",,baseline
T101,Temporal,46.75,1000,"['id001', 'id001', 74.794722]",,baseline
T102,Temporal,37.46,1000,"['id001', 'id001', 89.429155]",,baseline
T103,Temporal,31.19,1000,"['id001', 'id001', 82.406469]",,baseline
T104,Temporal,35.18,1000,"['id001', 'id001', 94.427966]",,baseline
T105,Temporal,36.10,1000,"['id001', 'id001', 94.912033]",,baseline
T106,Temporal,38.16,1000,"['id001', 'id001', 74.376324]",,baseline
T107,Temporal,32.20,1000,"['id001', 'id001', 78.473022]",,baseline
T108,Temporal,31.87,1000,"['id001', 'id001', 94.092803]",,baseline
T109,Temporal,32.92,1000,"['id001', 'id001', 66.356058]",,baseline
T110,Temporal,32.76,1000,"['id001', 'id001', 96.266471]",,baseline
T111,Temporal,36.86,1000,"['id001', 'id001', 71.131767]",,baseline
T112,Temporal,30.47,1000,"['id001', 'id001', 97.089794]",,baseline
T113,Temporal,39.22,1000,"['id001', 'id001', 97.015969]",,baseline
T114,Temporal,44.41,1000,"['id001', 'id001', 93.206724]",,baseline
T115,Temporal,36.98,1000,"['id001', 'id001', 33.372969]",,baseline
T116,Temporal,33.28,1000,"['id001', 'id001', 60.08072]",,baseline
T117,Temporal,33.14,1000,"['id001', 'id001', 75.78095]",,baseline
T118,Temporal,33.80,1000,"['id001', 'id001', 97.100629]",,baseline
T119,Temporal,36.01,1000,"['id001', 'id001', 96.59247]",,baseline
T120,Temporal,36.00,1000,"['id001', 'id001', 47.40196]",,baseline
T121,Temporal,32.62,1000,"['id001', 'id001', 99.95808]",,baseline
T122,Temporal,36.37,1000,"['id001', 'id001', 81.167448]",,baseline
T123,Temporal,31.17,1000,"['id001', 'id001', 87.520141]",,baseline
T124,Temporal,40.20,1000,"['id001', 'id001', 84.478978]",,baseline
T125,Temporal,33.71,1000,"['id001', 'id001', 97.718323]",,baseline
T126,Temporal,34.50,1000,"['id001', 'id001', 83.26165]",,baseline
T127,Temporal,34.91,1000,"['id001', 'id001', 84.826029]",,baseline
T128,Temporal,31.18,1000,"['id001', 'id001', 97.365304]",,baseline
T129,Temporal,34.70,1000,"['id001', 'id001', 52.13947]",,baseline
T130,Temporal,33.87,1000,"['id001', 'id001', 85.983132]",,baseline
T131,Temporal,29.11,1000,"['id001', 'id001', 97.641458]",,baseline
T132,Temporal,37.24,1000,"['id001', 'id001', 65.332989]",,baseline
T133,Temporal,33.28,1000,"['id001', 'id001', 85.650453]",,baseline
T134,Temporal,36.94,1000,"['id001', 'id001', 94.279169]",,baseline
T135,Temporal,34.74,1000,"['id001', 'id001', 89.547262]",,baseline
T136,Temporal,30.11,1000,"['id001', 'id001', 95.480832]",,baseline
T137,Temporal,32.14,1000,"['id001', 'id001', 79.922554]",,baseline
T138,Temporal,34.69,1000,"['id001', 'id001', 96.18234]",,baseline
T139,Temporal,30.73,1000,"['id001', 'id001', 88.493454]",,baseline
T140,Temporal,33.35,1000,"['id001', 'id001', 91.043571]",,baseline
T141,Temporal,33.01,1000,"['id001', 'id001', 69.063976]",,baseline
T142,Temporal,35.73,1000,"['id001', 'id001', 98.18383]",,baseline
T143,Temporal,33.63,1000,"['id001', 'id001', 92.334306]",,baseline
T144,Temporal,33.86,1000,"['id001', 'id001', 81.340963]",,baseline
T145,Temporal,35.05,1000,"['id001', 'id001', 97.448029]",,baseline
T146,Temporal,39.79,1000,"['id001', 'id001', 69.925571]",,baseline
T147,Temporal,29.47,1000,"['id001', 'id001', 92.935041]",,baseline
T148,Temporal,33.92,1000,"['id001', 'id001', 56.347144]",,baseline
T149,Temporal,29.27,1000,"['id001', 'id001', 87.464747]",,baseline
T150,Temporal,40.78,1000,"['id001', 'id001', 52.999297]",,baseline
T151,Temporal,33.53,1000,"['id001', 'id001', 90.453171]",,baseline
T152,Temporal,33.32,1000,"['id001', 'id001', 95.004092]",,baseline
T153,Temporal,33.51,1000,"['id001', 'id001', 98.50795]",,baseline
T154,Temporal,34.26,1000,"['id001', 'id001', 66.286116]",,baseline
T155,Temporal,36.69,1000,"['id001', 'id001', 56.414918]",,baseline
T156,Temporal,35.11,1000,"['id001', 'id001', 92.810364]",,baseline
T157,Temporal,33.92,1000,"['id001', 'id001', 93.872769]",,baseline
T158,Temporal,37.11,1000,"['id001', 'id001', 97.18501]",,baseline
T159,Temporal,33.65,1000,"['id001', 'id001', 62.470388]",,baseline
T160,Temporal,34.82,1000,"['id001', 'id001', 81.593226]",,baseline
T161,Temporal,33.85,1000,"['id001', 'id001', 90.749028]",,baseline
T162,Temporal,34.30,1000,"['id001', 'id001', 87.003262]",,baseline
T163,Temporal,29.46,1000,"['id001', 'id001', 80.257416]",,baseline
T164,Temporal,30.54,1000,"['id001', 'id001', 99.146094]",,baseline
T165,Temporal,18.94,793,"['id001', 'id011', 46.079642]",,baseline
T166,Temporal,18.12,584,"['id001', 'id009', 65.933288]",,baseline
T167,Temporal,17.23,584,"['id001', 'id065', 97.4923554]",,baseline
T168,Temporal,18.36,581,"['id001', 'id009', 11.663165]",,baseline
T169,Temporal,17.65,586,"['id001', 'id024', 0.851541]",,baseline
T170,Temporal,14.03,583,"['id001', 'id016', 13.783397]",,baseline
