query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T000,Temporal,19.18,600,"{'_source': {'id1': 'id049', 'id2': 'id053', 'value': 22.703132}}",,asap
T001,Temporal,33.38,600,"{'_source': {'id1': 'id076', 'id2': 'id013', 'value': 51.379762}}",,asap
T002,Temporal,23.83,600,"{'_source': {'id1': 'id022', 'id2': 'id075', 'value': 65.485337}}",,asap
T003,Temporal,26.83,600,"{'_source': {'id1': 'id070', 'id2': 'id026', 'value': 53.261605}}",,asap
T004,Temporal,28.06,600,"{'_source': {'id1': 'id021', 'id2': 'id086', 'value': 54.819518}}",,asap
T005,Temporal,35.07,600,"{'_source': {'id1': 'id016', 'id2': 'id079', 'value': 85.650894}}",,asap
T006,Temporal,15.99,600,"{'_source': {'id1': 'id052', 'id2': 'id065', 'value': 22.51805}}",,asap
T007,Temporal,26.47,600,"{'_source': {'id1': 'id061', 'id2': 'id095', 'value': 75.664975}}",,asap
T008,Temporal,26.04,600,"{'_source': {'id1': 'id071', 'id2': 'id059', 'value': 78.610597}}",,asap
T009,Temporal,27.26,600,"{'_source': {'id1': 'id068', 'id2': 'id056', 'value': 35.953865}}",,asap
T010,Temporal,29.26,600,"{'_source': {'id1': 'id052', 'id2': 'id048', 'value': 37.571505}}",,asap
T011,Temporal,32.89,600,"{'_source': {'id1': 'id071', 'id2': 'id038', 'value': 79.936961}}",,asap
T012,Temporal,21.94,600,"{'_source': {'id1': 'id037', 'id2': 'id012', 'value': 85.026707}}",,asap
T013,Temporal,15.84,600,"{'_source': {'id1': 'id099', 'id2': 'id095', 'value': 34.856122}}",,asap
T014,Temporal,29.10,600,"{'_source': {'id1': 'id091', 'id2': 'id029', 'value': 32.925122}}",,asap
T015,Temporal,25.27,600,"{'_source': {'id1': 'id026', 'id2': 'id068', 'value': 59.323283}}",,asap
T016,Temporal,29.94,600,"{'_source': {'id1': 'id034', 'id2': 'id003', 'value': 52.891927}}",,asap
T017,Temporal,28.14,600,"{'_source': {'id1': 'id087', 'id2': 'id066', 'value': 55.400941}}",,asap
T018,Temporal,29.49,600,"{'_source': {'id1': 'id090', 'id2': 'id009', 'value': 42.631138}}",,asap
T019,Temporal,31.23,600,"{'_source': {'id1': 'id087', 'id2': 'id059', 'value': 3.351795}}",,asap
T020,Temporal,27.03,600,"{'_source': {'id1': 'id036', 'id2': 'id090', 'value': 77.404583}}",,asap
T021,Temporal,20.13,600,"{'_source': {'id1': 'id089', 'id2': 'id065', 'value': 74.562029}}",,asap
T022,Temporal,29.08,600,"{'_source': {'id1': 'id069', 'id2': 'id018', 'value': 95.995555}}",,asap
T023,Temporal,27.02,600,"{'_source': {'id1': 'id074', 'id2': 'id048', 'value': 96.798161}}",,asap
T024,Temporal,29.09,600,"{'_source': {'id1': 'id081', 'id2': 'id031', 'value': 70.590208}}",,asap
T025,Temporal,27.41,600,"{'_source': {'id1': 'id063', 'id2': 'id004', 'value': 61.766161}}",,asap
T026,Temporal,34.95,600,"{'_source': {'id1': 'id071', 'id2': 'id096', 'value': 89.702349}}",,asap
T027,Temporal,27.02,600,"{'_source': {'id1': 'id004', 'id2': 'id100', 'value': 47.931122}}",,asap
T028,Temporal,15.84,600,"{'_source': {'id1': 'id076', 'id2': 'id070', 'value': 48.029856}}",,asap
T029,Temporal,29.87,600,"{'_source': {'id1': 'id096', 'id2': 'id003', 'value': 52.488029}}",,asap
T030,Temporal,27.43,600,"{'_source': {'id1': 'id095', 'id2': 'id036', 'value': 73.150159}}",,asap
