query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T000,Temporal,75.57,1000,[88.84936069999999],,baseline
T001,Temporal,67.73,1000,[98.08886705],,baseline
T002,Temporal,66.04,1000,[94.29209739999999],,baseline
T003,Temporal,69.41,1000,[85.2839558],,baseline
T004,Temporal,58.73,1000,[38.1407884],,baseline
T005,Temporal,70.53,1000,[51.20835244999999],,baseline
T006,Temporal,70.53,1000,[74.3376472],,baseline
T007,Temporal,71.31,1000,[85.3413134],,baseline
T008,Temporal,71.51,1000,[95.4360595],,baseline
T009,Temporal,70.13,1000,[98.4499984],,baseline
T010,Temporal,70.84,1000,[75.6582938],,baseline
T011,Temporal,70.06,1000,[66.060854],,baseline
T012,Temporal,68.70,1000,[82.6966845],,baseline
T013,Temporal,67.09,1000,[82.0571712],,baseline
T014,Temporal,43.75,1000,[89.9555092],,baseline
T015,Temporal,69.00,1000,[64.4459436],,baseline
T016,Temporal,66.60,1000,[84.84488209999998],,baseline
T017,Temporal,69.01,1000,[59.66462019999997],,baseline
T018,Temporal,69.12,1000,[84.84791764999999],,baseline
T019,Temporal,68.09,1000,[94.9581558],,baseline
T020,Temporal,66.12,1000,[70.722235],,baseline
T021,Temporal,68.37,1000,[59.576036],,baseline
T022,Temporal,68.75,1000,[86.17823750000001],,baseline
T023,Temporal,68.96,1000,[81.12747639999999],,baseline
T024,Temporal,69.28,1000,[82.27851749999999],,baseline
T025,Temporal,70.34,1000,[91.74627739999998],,baseline
T026,Temporal,69.95,1000,[75.99656859999999],,baseline
T027,Temporal,69.45,1000,[68.52307414999999],,baseline
T028,Temporal,67.56,1000,[82.41911299999995],,baseline
T029,Temporal,58.70,1000,[88.49077849999998],,baseline
T030,Temporal,60.12,1000,[97.69680249999999],,baseline
T031,Temporal,59.34,1000,[48.9484809],,baseline
T032,Temporal,69.35,1000,[85.4025513],,baseline
T033,Temporal,70.75,1000,[91.43305050000001],,baseline
T034,Temporal,68.86,1000,[75.2594175],,baseline
T035,Temporal,69.02,1000,[92.11064425],,baseline
T036,Temporal,68.93,1000,[86.685007],,baseline
T037,Temporal,67.66,1000,[91.0122715],,baseline
T038,Temporal,68.74,1000,[51.58106475],,baseline
T039,Temporal,68.08,1000,[92.92849225],,baseline
T040,Temporal,61.96,1000,[94.69689755],,baseline
T041,Temporal,68.21,1000,[54.83184255],,baseline
T042,Temporal,66.64,1000,[94.36913634999999],,baseline
T043,Temporal,68.02,1000,[42.503439799999995],,baseline
T044,Temporal,67.93,1000,[95.9249666],,baseline
T045,Temporal,69.32,1000,[70.5572351],,baseline
T046,Temporal,68.54,1000,[93.91995610000001],,baseline
T047,Temporal,68.67,1000,[97.0311712],,baseline
T048,Temporal,68.58,1000,[88.91944125],,baseline
T049,Temporal,68.42,1000,[73.96339625],,baseline
T050,Temporal,70.84,1000,[77.97731474999999],,baseline
T051,Temporal,55.85,1000,[97.32586739999999],,baseline
T052,Temporal,67.34,1000,[68.38898499999999],,baseline
T053,Temporal,69.21,1000,[54.8856848],,baseline
T054,Temporal,49.92,1000,[96.71989269999999],,baseline
T055,Temporal,66.59,1000,[64.75667874999999],,baseline
T056,Temporal,57.36,1000,[87.0720934],,baseline
T057,Temporal,68.05,1000,[88.7707082],,baseline
T058,Temporal,70.36,1000,[48.355391999999995],,baseline
T059,Temporal,66.93,1000,[69.56682295],,baseline
T060,Temporal,66.33,1000,[73.92986959999999],,baseline
T061,Temporal,56.48,1000,[90.34615924999997],,baseline
T062,Temporal,78.23,1000,[82.65043624999998],,baseline
T063,Temporal,66.52,1000,[73.36130025],,baseline
T064,Temporal,68.41,1000,[92.99153129999999],,baseline
T065,Temporal,66.90,1000,[48.003671499999996],,baseline
T066,Temporal,66.07,1000,[91.67816949999998],,baseline
T067,Temporal,54.71,1000,[89.526665],,baseline
T068,Temporal,41.87,1000,[93.4146018],,baseline
T069,Temporal,67.59,1000,[75.27135524999998],,baseline
T070,Temporal,68.04,1000,[82.5052716],,baseline
T071,Temporal,58.51,1000,[72.9707599],,baseline
T072,Temporal,49.45,1000,[91.2601955],,baseline
T073,Temporal,63.29,1000,[71.8739799],,baseline
T074,Temporal,63.70,1000,[95.41014609999999],,baseline
T075,Temporal,67.09,1000,[76.8114616],,baseline
T076,Temporal,64.86,1000,[50.6902775],,baseline
T077,Temporal,64.79,1000,[63.4696058],,baseline
T078,Temporal,65.77,1000,[72.88523989999999],,baseline
T079,Temporal,73.22,1000,[76.77174],,baseline
T080,Temporal,88.83,1000,[74.78677975000001],,baseline
T081,Temporal,57.56,1000,[96.04816054999999],,baseline
T082,Temporal,69.23,1000,[91.6242716],,baseline
T083,Temporal,67.14,1000,[90.14069514999998],,baseline
T084,Temporal,69.73,1000,[80.44548885],,baseline
T085,Temporal,39.29,1000,[94.17734669999999],,baseline
T086,Temporal,50.05,1000,[72.259953],,baseline
T087,Temporal,66.18,1000,[84.71890219999999],,baseline
T088,Temporal,37.44,1000,[69.92863649999998],,baseline
T089,Temporal,69.28,1000,[91.4663293],,baseline
T090,Temporal,69.45,1000,[96.8131258],,baseline
T091,Temporal,64.88,1000,[92.63268],,baseline
T092,Temporal,65.61,1000,[73.6620275],,baseline
T093,Temporal,67.21,1000,[85.9338325],,baseline
T094,Temporal,67.08,1000,[99.0304556],,baseline
T095,Temporal,65.17,1000,[22.59377655],,baseline
T096,Temporal,59.34,1000,[70.187641],,baseline
T097,Temporal,51.02,1000,[80.60054939999999],,baseline
T098,Temporal,65.70,1000,[93.21310824999999],,baseline
T099,Temporal,66.41,1000,[97.38461860000001],,baseline
T100,Temporal,67.12,1000,[50.79845855000001],,baseline
T101,Temporal,67.16,1000,[71.45687714999998],,baseline
T102,Temporal,73.38,1000,[88.14545275],,baseline
T103,Temporal,67.84,1000,[80.1304385],,baseline
T104,Temporal,54.37,1000,[88.76838769999998],,baseline
T105,Temporal,59.67,1000,[93.05975049999999],,baseline
T106,Temporal,68.45,1000,[64.21997879999999],,baseline
T107,Temporal,65.58,1000,[75.30214319999999],,baseline
T108,Temporal,66.39,1000,[79.95755089999997],,baseline
T109,Temporal,67.03,1000,[62.987294399999996],,baseline
T110,Temporal,67.47,1000,[88.51837984999997],,baseline
T111,Temporal,66.98,1000,[70.0193577],,baseline
T112,Temporal,48.36,1000,[94.80280894999999],,baseline
T113,Temporal,68.57,1000,[89.11262679999999],,baseline
T114,Temporal,75.05,1000,[89.7890585],,baseline
T115,Temporal,67.69,1000,[32.7439508],,baseline
T116,Temporal,64.94,1000,[60.0124238],,baseline
T117,Temporal,65.22,1000,[73.97308000000001],,baseline
T118,Temporal,67.15,1000,[96.483506],,baseline
T119,Temporal,71.03,1000,[91.8947008],,baseline
T120,Temporal,66.58,1000,[46.8090197],,baseline
T121,Temporal,63.03,1000,[99.12167649999999],,baseline
T122,Temporal,62.04,1000,[80.20619975],,baseline
T123,Temporal,66.33,1000,[81.27856629999998],,baseline
T124,Temporal,68.07,1000,[76.99856289999998],,baseline
T125,Temporal,71.38,1000,[88.50556664999999],,baseline
T126,Temporal,68.19,1000,[83.26165],,baseline
T127,Temporal,69.35,1000,[80.553024],,baseline
T128,Temporal,70.38,1000,[94.41389215],,baseline
T129,Temporal,63.79,1000,[49.9466786],,baseline
T130,Temporal,70.65,1000,[85.4104203],,baseline
T131,Temporal,68.29,1000,[88.40016159999999],,baseline
T132,Temporal,69.79,1000,[62.67636625],,baseline
T133,Temporal,67.70,1000,[83.3219414],,baseline
T134,Temporal,69.64,1000,[93.58177669999999],,baseline
T135,Temporal,67.58,1000,[86.30804094999999],,baseline
T136,Temporal,66.68,1000,[89.88551865],,baseline
T137,Temporal,70.97,1000,[74.737262],,baseline
T138,Temporal,68.51,1000,[94.64956079999999],,baseline
T139,Temporal,65.68,1000,[87.90916225],,baseline
T140,Temporal,58.60,1000,[77.06699175],,baseline
T141,Temporal,63.55,1000,[61.81799784999998],,baseline
T142,Temporal,61.33,1000,[97.981674],,baseline
T143,Temporal,62.72,1000,[87.00959249999998],,baseline
T144,Temporal,64.46,1000,[78.9896974],,baseline
T145,Temporal,64.29,1000,[96.839405],,baseline
T146,Temporal,63.42,1000,[65.258012],,baseline
T147,Temporal,80.43,1000,[89.6963727],,baseline
T148,Temporal,38.31,1000,[55.68247135],,baseline
T149,Temporal,65.71,1000,[82.02615975],,baseline
T150,Temporal,62.51,1000,[51.19882629999999],,baseline
T151,Temporal,67.78,1000,[87.92802135],,baseline
T152,Temporal,66.26,1000,[91.63347949999999],,baseline
T153,Temporal,66.51,1000,[95.84998239999999],,baseline
T154,Temporal,67.66,1000,[62.040211750000005],,baseline
T155,Temporal,68.61,1000,[55.8539477],,baseline
T156,Temporal,67.09,1000,[92.7483963],,baseline
T157,Temporal,67.04,1000,[86.2419854],,baseline
T158,Temporal,70.26,1000,[91.5677976],,baseline
T159,Temporal,84.17,1000,[60.1777343],,baseline
T160,Temporal,70.00,1000,[78.612949],,baseline
T161,Temporal,66.68,1000,[82.33623284999997],,baseline
T162,Temporal,67.19,1000,[86.01708225],,baseline
T163,Temporal,66.97,1000,[78.627364],,baseline
T164,Temporal,56.11,1000,[97.4328429],,baseline
T165,Temporal,18.19,227,[46.079642],,baseline
