query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T000,Temporal,33.11,583,[81.262231],,asap
T001,Temporal,22.80,582,[51.471534],,asap
T002,Temporal,24.48,586,[9.071836],,asap
T003,Temporal,26.22,581,[82.719165],,asap
T004,Temporal,26.11,583,[71.83826],,asap
T005,Temporal,29.94,585,[82.639862],,asap
T006,Temporal,26.62,584,[21.79532],,asap
T007,Temporal,23.53,587,[43.424345],,asap
T008,Temporal,22.36,586,[93.385615],,asap
T009,Temporal,25.18,584,[77.191591],,asap
T010,Temporal,25.64,582,[24.006235],,asap
T011,Temporal,25.11,585,[38.052662],,asap
T012,Temporal,25.71,586,[2.126067],,asap
T013,Temporal,24.96,587,[9.558868],,asap
T014,Temporal,24.68,590,[93.816494],,asap
T015,Temporal,26.21,581,[90.587724],,asap
T016,Temporal,25.59,589,[3.353291],,asap
T017,Temporal,600.67,20984,"{'_source': {'id1': 'id001', 'id2': 'id024', 'value': 16.952813}}",,asap
T018,Temporal,41.13,600,"{'_source': {'id1': 'id005', 'id2': 'id029', 'value': 22.564262}}",,asap
T019,Temporal,26.94,600,"{'_source': {'id1': 'id021', 'id2': 'id017', 'value': 23.847601}}",,asap
T020,Temporal,34.48,600,"{'_source': {'id1': 'id083', 'id2': 'id064', 'value': 94.965535}}",,asap
T021,Temporal,33.31,600,"{'_source': {'id1': 'id011', 'id2': 'id051', 'value': 94.173953}}",,asap
T022,Temporal,33.31,600,"{'_source': {'id1': 'id097', 'id2': 'id041', 'value': 26.885229}}",,asap
T023,Temporal,33.33,600,"{'_source': {'id1': 'id001', 'id2': 'id086', 'value': 70.622484}}",,asap
T024,Temporal,33.44,600,"{'_source': {'id1': 'id099', 'id2': 'id034', 'value': 29.04447}}",,asap
T025,Temporal,32.59,600,"{'_source': {'id1': 'id005', 'id2': 'id023', 'value': 22.089983}}",,asap
T026,Temporal,32.75,600,"{'_source': {'id1': 'id087', 'id2': 'id012', 'value': 56.222916}}",,asap
T027,Temporal,32.75,600,"{'_source': {'id1': 'id026', 'id2': 'id043', 'value': 99.967833}}",,asap
T028,Temporal,28.08,600,"{'_source': {'id1': 'id030', 'id2': 'id097', 'value': 72.485525}}",,asap
T029,Temporal,32.85,600,"{'_source': {'id1': 'id044', 'id2': 'id038', 'value': 55.122666}}",,asap
T030,Temporal,33.29,600,"{'_source': {'id1': 'id045', 'id2': 'id072', 'value': 14.531824}}",,asap
T031,Temporal,33.61,600,"{'_source': {'id1': 'id059', 'id2': 'id046', 'value': 46.640212}}",,asap
T032,Temporal,33.65,600,"{'_source': {'id1': 'id080', 'id2': 'id065', 'value': 83.013285}}",,asap
T033,Temporal,33.43,600,"{'_source': {'id1': 'id049', 'id2': 'id039', 'value': 55.680729}}",,asap
T034,Temporal,46.67,600,"{'_source': {'id1': 'id063', 'id2': 'id071', 'value': 34.134667}}",,asap
T035,Temporal,32.21,600,"{'_source': {'id1': 'id083', 'id2': 'id077', 'value': 33.513939}}",,asap
T036,Temporal,33.85,600,"{'_source': {'id1': 'id079', 'id2': 'id067', 'value': 84.979887}}",,asap
T037,Temporal,32.83,600,"{'_source': {'id1': 'id057', 'id2': 'id090', 'value': 57.492214}}",,asap
T038,Temporal,33.27,600,"{'_source': {'id1': 'id066', 'id2': 'id060', 'value': 15.120587}}",,asap
T039,Temporal,33.18,600,"{'_source': {'id1': 'id021', 'id2': 'id023', 'value': 22.595805}}",,asap
T040,Temporal,28.31,600,"{'_source': {'id1': 'id090', 'id2': 'id094', 'value': 47.40781}}",,asap
T041,Temporal,33.68,600,"{'_source': {'id1': 'id024', 'id2': 'id047', 'value': 44.45892}}",,asap
T042,Temporal,25.73,600,"{'_source': {'id1': 'id081', 'id2': 'id048', 'value': 53.306682}}",,asap
T043,Temporal,33.97,600,"{'_source': {'id1': 'id096', 'id2': 'id076', 'value': 46.900233}}",,asap
T044,Temporal,24.71,600,"{'_source': {'id1': 'id071', 'id2': 'id053', 'value': 77.443177}}",,asap
T045,Temporal,34.31,600,"{'_source': {'id1': 'id017', 'id2': 'id065', 'value': 96.746011}}",,asap
T046,Temporal,33.45,600,"{'_source': {'id1': 'id082', 'id2': 'id079', 'value': 13.485331}}",,asap
T047,Temporal,33.48,600,"{'_source': {'id1': 'id094', 'id2': 'id065', 'value': 41.799803}}",,asap
T048,Temporal,32.42,600,"{'_source': {'id1': 'id046', 'id2': 'id098', 'value': 77.763881}}",,asap
T049,Temporal,32.13,600,"{'_source': {'id1': 'id008', 'id2': 'id060', 'value': 84.367724}}",,asap
T050,Temporal,31.39,600,"{'_source': {'id1': 'id050', 'id2': 'id076', 'value': 73.097145}}",,asap
T051,Temporal,31.67,600,"{'_source': {'id1': 'id081', 'id2': 'id059', 'value': 41.07369}}",,asap
T052,Temporal,34.97,600,"{'_source': {'id1': 'id013', 'id2': 'id053', 'value': 27.965245}}",,asap
