query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T000,Temporal,31.79,583,[81.262231],,baseline
T001,Temporal,25.39,582,[51.471534],,baseline
T002,Temporal,26.04,586,[9.071836],,baseline
T003,Temporal,26.40,581,[82.719165],,baseline
T004,Temporal,26.87,583,[71.83826],,baseline
T005,Temporal,26.87,585,[82.639862],,baseline
T006,Temporal,27.33,584,[21.79532],,baseline
T007,Temporal,26.67,587,[43.424345],,baseline
T008,Temporal,26.39,586,[93.385615],,baseline
T009,Temporal,26.17,584,[77.191591],,baseline
T010,Temporal,26.48,582,[24.006235],,baseline
T011,Temporal,26.50,585,[38.052662],,baseline
T012,Temporal,26.27,586,[2.126067],,baseline
T013,Temporal,42.49,587,[9.558868],,baseline
T014,Temporal,39.13,590,[93.816494],,baseline
T015,Temporal,27.50,581,[90.587724],,baseline
T016,Temporal,27.05,589,[3.353291],,baseline
T017,Temporal,26.50,576,[3.673416],,baseline
T018,Temporal,26.65,585,[48.042076],,baseline
T019,Temporal,26.07,591,[83.163239],,baseline
T020,Temporal,25.92,583,[39.826536],,baseline
T021,Temporal,26.17,588,[51.893215],,baseline
T022,Temporal,27.53,588,[99.467793],,baseline
T023,Temporal,26.27,587,[33.663218],,baseline
T024,Temporal,25.88,589,[12.920695],,baseline
T025,Temporal,25.89,589,[64.4741291],,baseline
T026,Temporal,26.85,588,[21.794457],,baseline
T027,Temporal,25.77,576,[39.662403],,baseline
T028,Temporal,26.20,586,[23.668363],,baseline
T029,Temporal,26.07,577,[41.501476],,baseline
T030,Temporal,26.40,583,[36.567075],,baseline
T031,Temporal,25.95,583,[52.483525],,baseline
T032,Temporal,26.00,584,[20.566395],,baseline
T033,Temporal,26.16,583,[98.102144],,baseline
T034,Temporal,26.74,587,[73.717495],,baseline
T035,Temporal,26.59,587,[48.048246],,baseline
T036,Temporal,26.60,582,[51.4828],,baseline
T037,Temporal,26.20,572,[74.975184],,baseline
T038,Temporal,26.33,581,[63.299006],,baseline
T039,Temporal,26.15,579,[24.889903],,baseline
T040,Temporal,26.73,586,[55.353387],,baseline
T041,Temporal,27.08,586,[45.156893],,baseline
T042,Temporal,26.62,577,[21.176055],,baseline
T043,Temporal,25.84,579,[31.577527],,baseline
T044,Temporal,26.80,584,[77.100532],,baseline
T045,Temporal,26.28,587,[66.470433],,baseline
T046,Temporal,26.36,583,[96.438748],,baseline
T047,Temporal,25.80,581,[33.27534],,baseline
T048,Temporal,26.66,590,[64.585608],,baseline
T049,Temporal,26.76,586,[80.822114],,baseline
T050,Temporal,26.27,584,[96.501295],,baseline
T051,Temporal,26.22,585,[30.931087],,baseline
T052,Temporal,25.97,581,[19.742493],,baseline
T053,Temporal,26.58,582,[36.458155],,baseline
T054,Temporal,26.16,588,[46.512458],,baseline
T055,Temporal,26.27,585,[73.91776845],,baseline
T056,Temporal,26.27,584,[92.435023],,baseline
T057,Temporal,26.24,581,[94.87081095],,baseline
T058,Temporal,26.05,582,[90.361218],,baseline
T059,Temporal,26.19,585,[7.924742],,baseline
T060,Temporal,26.42,585,[31.005758],,baseline
T061,Temporal,26.25,582,[1.028544],,baseline
T062,Temporal,26.43,587,[44.313558],,baseline
T063,Temporal,26.54,586,[54.580906],,baseline
T064,Temporal,26.17,582,[36.146236],,baseline
T065,Temporal,26.17,578,[75.206961],,baseline
T066,Temporal,26.33,582,[9.692202],,baseline
T067,Temporal,25.99,576,[87.439247],,baseline
T068,Temporal,26.04,584,[95.489526],,baseline
T069,Temporal,26.55,585,[23.891754],,baseline
T070,Temporal,26.50,586,[51.286442],,baseline
T071,Temporal,26.17,583,[22.916722],,baseline
T072,Temporal,26.32,588,[87.766225],,baseline
T073,Temporal,26.80,582,[81.056351],,baseline
T074,Temporal,26.36,580,[58.275211],,baseline
T075,Temporal,26.25,579,[10.538664],,baseline
T076,Temporal,26.60,580,[88.61769],,baseline
T077,Temporal,26.88,590,[4.233401],,baseline
T078,Temporal,26.22,580,[49.033759],,baseline
T079,Temporal,25.86,584,[50.418662],,baseline
T080,Temporal,26.62,587,[17.205232],,baseline
T081,Temporal,26.14,583,[41.262483],,baseline
T082,Temporal,26.80,586,[44.788428],,baseline
T083,Temporal,26.72,584,[3.293781],,baseline
T084,Temporal,26.42,593,[6.965569],,baseline
T085,Temporal,26.91,579,[31.989833],,baseline
T086,Temporal,26.64,584,[26.135382],,baseline
T087,Temporal,26.97,593,[59.614993],,baseline
T088,Temporal,26.63,590,[74.700946],,baseline
T089,Temporal,26.42,577,[9.729622],,baseline
T090,Temporal,26.58,584,[66.747631],,baseline
T091,Temporal,26.47,576,[16.268245],,baseline
T092,Temporal,28.43,587,[32.561601],,baseline
T093,Temporal,24.80,577,[58.365264],,baseline
T094,Temporal,26.62,586,[46.281667],,baseline
T095,Temporal,26.08,581,[15.604192],,baseline
T096,Temporal,26.89,588,[52.162845],,baseline
T097,Temporal,26.58,581,[10.970919],,baseline
T098,Temporal,26.40,584,[88.134453],,baseline
T099,Temporal,26.06,586,[28.910195],,baseline
T100,Temporal,25.96,586,[82.21290875],,baseline
T101,Temporal,26.68,584,[83.421303],,baseline
T102,Temporal,26.40,586,[74.04633],,baseline
T103,Temporal,26.18,583,[16.035439],,baseline
T104,Temporal,26.53,579,[40.631303],,baseline
T105,Temporal,26.25,588,[5.93792],,baseline
T106,Temporal,26.18,582,[97.71935859999999],,baseline
T107,Temporal,26.11,583,[84.83728],,baseline
T108,Temporal,27.43,587,[50.950676],,baseline
T109,Temporal,26.67,582,[23.36834],,baseline
T110,Temporal,26.39,585,[71.169719],,baseline
T111,Temporal,26.17,578,[72.344446],,baseline
T112,Temporal,25.50,586,[13.04168],,baseline
T113,Temporal,23.93,584,[83.742043],,baseline
T114,Temporal,19.19,579,[92.354277],,baseline
T115,Temporal,23.67,585,[40.861271],,baseline
T116,Temporal,26.55,589,[76.824874],,baseline
T117,Temporal,25.02,582,[39.001309],,baseline
T118,Temporal,24.79,582,[91.769344],,baseline
T119,Temporal,26.50,589,[26.012312],,baseline
T120,Temporal,26.56,581,[67.330326],,baseline
T121,Temporal,26.53,582,[66.54918],,baseline
T122,Temporal,26.19,582,[79.385808],,baseline
T123,Temporal,28.11,581,[13.660427],,baseline
T124,Temporal,26.89,588,[95.937802],,baseline
T125,Temporal,26.42,586,[34.625825],,baseline
T126,Temporal,26.27,584,[28.756271],,baseline
T127,Temporal,26.67,588,[29.130652],,baseline
T128,Temporal,26.26,581,[64.583766],,baseline
T129,Temporal,26.77,578,[25.047401],,baseline
T130,Temporal,26.57,581,[37.994107],,baseline
T131,Temporal,24.42,587,[39.794437],,baseline
T132,Temporal,26.96,583,[1.832319],,baseline
T133,Temporal,26.25,582,[76.549819],,baseline
T134,Temporal,26.31,584,[72.225555],,baseline
T135,Temporal,26.00,583,[54.57591],,baseline
T136,Temporal,25.70,583,[52.095673],,baseline
T137,Temporal,26.79,585,[1.843306],,baseline
T138,Temporal,27.12,587,[6.647925],,baseline
T139,Temporal,26.55,584,[94.425215],,baseline
T140,Temporal,26.84,585,[29.598133],,baseline
T141,Temporal,26.81,576,[48.676164],,baseline
T142,Temporal,27.10,581,[21.601999],,baseline
